"SampID","HabitatSampled"
"208","submerged wood"
"209","riffles"
"209","cobbles"
"209","runs"
"209","stream margins"
"209","leaf packs"
"209","pools"
"209","undercut overhanging"
"209","submerged wood"
"210","riffles"
"210","cobbles"
"210","aquatic plants"
"210","runs"
"210","stream margins"
"210","leaf packs"
"210","pools"
"210","undercut overhanging"
"210","submerged wood"
"211","cobbles"
"211","aquatic plants"
"211","runs"
"211","stream margins"
"211","leaf packs"
"211","pools"
"211","undercut overhanging"
"211","submerged wood"
"211","other"
"212","cobbles"
"212","aquatic plants"
"212","runs"
"212","stream margins"
"212","leaf packs"
"212","pools"
"212","undercut overhanging"
"212","submerged wood"
"213","leaf packs"
"213","pools"
"213","undercut overhanging"
"213","submerged wood"
"214","riffles"
"214","cobbles"
"214","stream margins"
"214","leaf packs"
"214","pools"
"214","undercut overhanging"
"214","submerged wood"
"215","riffles"
"215","cobbles"
"215","stream margins"
"215","leaf packs"
"215","pools"
"215","undercut overhanging"
"215","submerged wood"
"216","riffles"
"216","cobbles"
"216","aquatic plants"
"216","runs"
"216","stream margins"
"216","leaf packs"
"216","pools"
"216","undercut overhanging"
"216","submerged wood"
"217","riffles"
"217","cobbles"
"217","aquatic plants"
"217","runs"
"217","stream margins"
"217","leaf packs"
"217","pools"
"217","undercut overhanging"
"217","submerged wood"
"218","riffles"
"218","cobbles"
"218","aquatic plants"
"218","runs"
"218","stream margins"
"218","leaf packs"
"218","pools"
"218","undercut overhanging"
"218","submerged wood"
"218","other"
"219","riffles"
"219","cobbles"
"219","leaf packs"
"219","pools"
"219","undercut overhanging"
"219","submerged wood"
"220","riffles"
"220","cobbles"
"220","runs"
"220","leaf packs"
"220","stream margins"
"220","pools"
"220","undercut overhanging"
"220","submerged wood"
"221","riffles"
"221","cobbles"
"221","runs"
"221","stream margins"
"221","leaf packs"
"221","pools"
"221","undercut overhanging"
"221","submerged wood"
"222","aquatic plants"
"222","runs"
"222","stream margins"
"222","leaf packs"
"222","pools"
"222","undercut overhanging"
"222","submerged wood"
"223","riffles"
"3","undercut overhanging"
"3","submerged wood"
"4","riffles"
"4","cobbles"
"4","aquatic plants"
"4","runs"
"4","stream margins"
"4","leaf packs"
"4","pools"
"4","undercut overhanging"
"4","submerged wood"
"5","riffles"
"5","cobbles"
"5","runs"
"5","leaf packs"
"5","leaf packs"
"5","undercut overhanging"
"6","riffles"
"6","cobbles"
"6","leaf packs"
"6","pools"
"7","riffles"
"7","cobbles"
"7","aquatic plants"
"7","runs"
"7","stream margins"
"7","pools"
"7","undercut overhanging"
"7","submerged wood"
"8","riffles"
"8","cobbles"
"8","runs"
"10","other"
"9","riffles"
"9","cobbles"
"10","riffles"
"11","riffles"
"11","cobbles"
"12","riffles"
"12","cobbles"
"12","aquatic plants"
"12","runs"
"12","margins"
"12","pools"
"12","undercut overhanging"
"12","submerged wood"
"13","riffles"
"13","other"
"13","runs"
"13","leaf packs"
"13","pools"
"13","undercut overhanging"
"13","submerged wood"
"14",""
"15","riffles"
"15","runs"
"15","stream margins"
"16",""
"17","riffles"
"17","cobbles"
"17","runs"
"17","leaf packs"
"17","undercut overhanging"
"18","riffles"
"18","cobbles"
"18","aquatic plants"
"18","runs"
"18","stream margins"
"18","pools"
"18","undercut overhanging"
"19",""
"20","riffles"
"20","cobbles"
"20","aquatic plants"
"20","runs"
"20","stream margins"
"20","leaf packs"
"20","pools"
"20","undercut overhanging"
"20","submerged wood"
"20","other"
"22",""
"23","riffles"
"23","cobbles"
"23","aquatic plants"
"23","other"
"23","runs"
"23","stream margins"
"23","leaf packs"
"23","pools"
"23","undercut overhanging"
"23","submerged wood"
"21","riffles"
"21","cobbles"
"21","aquatic plants"
"21","runs"
"21","stream margins"
"21","leaf packs"
"21","pools"
"21","undercut overhanging"
"21","submerged wood"
"21","other"
"24","riffles"
"24","cobbles"
"24","aquatic plants"
"24","runs"
"24","stream margins"
"24","pools"
"24","undercut overhanging"
"24","submerged wood"
"25","riffles"
"25","cobbles"
"25","aquatic plants"
"25","runs"
"25","leaf packs"
"25","pools"
"25","submerged wood"
"26","riffles"
"26","cobbles"
"26","aquatic plants"
"26","runs"
"26","leaf packs"
"27","riffles"
"27","cobbles"
"27","aquatic plants"
"27","runs"
"27","stream margins"
"27","submerged wood"
"28","riffles"
"28","aquatic plants"
"28","runs"
"28","stream margins"
"28","leaf packs"
"28","pools"
"28","submerged wood"
"29","riffles"
"29","cobbles"
"29","runs"
"29","stream margins"
"29","leaf packs"
"29","pools"
"29","undercut overhanging"
"29","submerged wood"
"30","runs"
"30","leaf packs"
"30","pools"
"30","submerged wood"
"30","other"
"32","cobbles"
"32","runs"
"32","stream margins"
"32","leaf packs"
"32","undercut overhanging"
"32","submerged wood"
"33","riffles"
"33","cobbles"
"33","aquatic plants"
"33","runs"
"33","stream margins"
"33","pools"
"33","undercut overhanging"
"33","submerged wood"
"35","riffles"
"35","aquatic plants"
"35","runs"
"35","stream margins"
"35","pools"
"35","undercut overhanging"
