ID,BRANCH,FIELDID,STONEFLIES PRESENT?,ST2022,ST2022date,ST2022Family,ST2022Saltppm,ST2021,ST2021date,ST2021Family,ST2021Saltppm,ST2020date,ST2020,ST2020Family,ST2020Salt,ST2020Saltppm,ST19,ST19Family,ST19 date,ST19Collector,ST18,ST18Collector,ST17Collector,ST17date,ST17,ST17Capnids,ST17Perlodids,ST17Nemourids,ST17Taeniopteryx,ST16date,ST16Collector,ST16,ST16 Capnids,ST16 Perlodids,ST15,ST15date,ST15Capnids,ST15Perlodids,ST15Collector,ST14date,ST14,ST14Capnids,ST14Perlodids,ST13date,ST13,ST13Capnids,ST13Perlodids,St13Taeniopteryx,ST12,ST12Capnids,ST12Perlodids,ST12Taeniopteryx,ST11 Perlodids,ST11 Capnid,ST11,ST10,ST10 Capnid,ST10 Perlodid,ST10 Nemouridae,ST10 Taeniopterygidae,ST09,ST09 Capnid,ST09 Perlodid,ST08,ST08 Capnid,ST08Perlodid,ST07,ST06,ST05,ST04,ST03,ST02
40,L,LR-2,N,N,1/31/2022,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/26/13,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,
41,L,LR-3,N,,,,,,,,,,,,,,,,,,N,WC,,,,,,,,2/16/16,WC,N,,,N,2/11/15,,,WC,1/23/14,N,N,N,2/4/13,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,
42,MN,Main1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,
43,MN,Main11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MN,Main2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MN,Main3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MN,Main4,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
47,MN,Main5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MN,Main6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,2/14/15,,,1,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,N,N
49,MN,Main7,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,2/11/15,,,WC,,,,,2/6/13,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,
